Date,Code,Name,Open,High,Low,Close,Volume,Turnover
2025-03-27,523850,AXTEL INDUSTRIES LTD.,460.2,474.95,450.1,465.25,15926,7420610.0
2025-03-28,523850,AXTEL INDUSTRIES LTD.,464.0,477.5,460.65,465.0,15353,7145235.0
2025-04-01,523850,AXTEL INDUSTRIES LTD.,464.6,498.0,464.0,480.15,2863,1370338.0
2025-04-02,523850,AXTEL INDUSTRIES LTD.,475.55,480.0,466.05,477.15,6634,3149020.0
2025-04-03,523850,AXTEL INDUSTRIES LTD.,474.8,474.8,466.0,470.75,772,361823.0
2025-04-04,523850,AXTEL INDUSTRIES LTD.,471.0,478.5,466.0,471.75,1971,930134.0
2025-04-07,523850,AXTEL INDUSTRIES LTD.,421.0,462.35,421.0,456.7,6137,2734387.0
2025-04-08,523850,AXTEL INDUSTRIES LTD.,457.6,474.0,457.6,470.6,1085,504821.0
2025-04-09,523850,AXTEL INDUSTRIES LTD.,465.0,472.8,465.0,465.0,952,442808.0
2025-04-11,523850,AXTEL INDUSTRIES LTD.,466.0,479.9,465.0,465.6,985,460335.0
2025-04-15,523850,AXTEL INDUSTRIES LTD.,472.4,472.4,465.0,469.85,4019,1874916.0
2025-04-16,523850,AXTEL INDUSTRIES LTD.,465.65,470.0,457.0,464.5,2386,1113049.0
2025-04-17,523850,AXTEL INDUSTRIES LTD.,465.5,498.0,461.0,486.35,4509,2155985.0
2025-04-21,523850,AXTEL INDUSTRIES LTD.,486.0,487.45,469.05,471.85,3275,1552422.0
2025-04-22,523850,AXTEL INDUSTRIES LTD.,471.95,474.4,465.0,465.0,2503,1167604.0
2025-04-23,523850,AXTEL INDUSTRIES LTD.,467.6,479.0,465.0,469.6,3659,1726546.0
2025-04-24,523850,AXTEL INDUSTRIES LTD.,465.55,469.75,452.0,454.65,13281,6092274.0
2025-04-25,523850,AXTEL INDUSTRIES LTD.,457.8,463.75,443.0,455.15,8491,3823836.0
2025-04-28,523850,AXTEL INDUSTRIES LTD.,460.0,469.9,452.85,467.15,6966,3229653.0
2025-04-29,523850,AXTEL INDUSTRIES LTD.,480.0,480.0,463.5,464.8,2935,1366084.0
2025-04-30,523850,AXTEL INDUSTRIES LTD.,460.0,468.0,458.5,465.0,6303,2929944.0
2025-05-02,523850,AXTEL INDUSTRIES LTD.,465.0,474.9,461.55,464.9,3975,1855335.0
2025-05-05,523850,AXTEL INDUSTRIES LTD.,460.05,471.9,460.05,465.4,3342,1552994.0
